MtrunA17CPg0492181	NAD(P)H-quinone oxidoreductase subunit 5
MtrunA17Chr2g0328271	Putative peptidase S54, rhomboid
MtrunA17Chr2g0328281	Putative dolichyl-phosphate beta-D-mannosyltransferase
MtrunA17Chr2g0328301	hypothetical protein
MtrunA17Chr2g0328311	hypothetical protein
MtrunA17Chr2g0328321	Putative rab5-interacting protein family
MtrunA17Chr2g0328331	Putative transcription factor MYB-HB-like family
MtrunA17Chr2g0328341	Putative transcription factor GRAS family
MtrunA17Chr2g0328361	Putative transcription factor GRAS family
MtrunA17Chr2g0328371	Putative transcription factor GRAS family
MtrunA17Chr2g0328381	Putative transcription factor GRAS family
MtrunA17Chr2g0328391	Putative transcription factor GRAS family
MtrunA17Chr2g0328401	Putative transcription factor GRAS family
MtrunA17Chr2g0328411	Putative transcription factor GRAS family
MtrunA17Chr2g0328421	hypothetical protein
MtrunA17Chr2g0328431	Putative transcription factor GRAS family
MtrunA17Chr2g0328441	Putative M-phase phosphoprotein
MtrunA17Chr2g0328451	Putative pyridoxal phosphatase
MtrunA17Chr2g0328461	Putative peptidase M20
MtrunA17Chr2g0328471	Putative peptidase M20
MtrunA17Chr2g0328481	Putative peptidase M20
MtrunA17Chr2g0328501	hypothetical protein
MtrunA17Chr2g0328511	Putative zinc/iron permease
MtrunA17Chr2g0328521	hypothetical protein
MtrunA17Chr2g0328531	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr2g0328541	Putative rRNA-processing protein Fcf1/Utp23
MtrunA17Chr2g0328561	Putative nucleic acid binding NABP, pumilio, RNA binding domain-containing protein
MtrunA17Chr2g0328571	hypothetical protein
MtrunA17Chr2g0328581	Putative DnaJ domain-containing protein
MtrunA17Chr2g0328591	hypothetical protein
MtrunA17Chr2g0328601	Putative chloroplast envelope protein translocase, IAP75
MtrunA17Chr2g0328611	hypothetical protein
MtrunA17Chr2g0328621	hypothetical protein
MtrunA17Chr2g0328631	Putative transcription factor IIA, alpha/beta subunit, transcription factor IIA, helical
MtrunA17Chr2g0328651	Putative NADH:ubiquinone reductase (H(+)-translocating)
MtrunA17Chr2g0328661	hypothetical protein
MtrunA17Chr2g0328671	hypothetical protein
MtrunA17Chr2g0328681	hypothetical protein
MtrunA17Chr2g0328691	hypothetical protein
MtrunA17Chr2g0328701	Putative transcription regulator Others family
MtrunA17Chr2g0328711	Putative premnaspirodiene oxygenase
MtrunA17Chr2g0328721	hypothetical protein
MtrunA17Chr2g0328731	Putative transferase
MtrunA17Chr2g0328741	Putative Tim10/DDP family zinc finger
MtrunA17Chr2g0328751	Putative mitochondrial 28S ribosomal protein S34
MtrunA17Chr2g0328761	Putative multi antimicrobial extrusion protein
MtrunA17Chr2g0328771	Putative transcription factor MYB-HB-like family
MtrunA17Chr2g0328781	Putative aldehyde dehydrogenase (NAD(+))
MtrunA17Chr2g0328791	Putative nucleotide-binding alpha-beta plait domain-containing protein
MtrunA17Chr2g0328801	Putative rab5-interacting protein family
MtrunA17Chr2g0328811	Putative 1-acylglycerol-3-phosphate O-acyltransferase
MtrunA17Chr2g0328821	Putative 60S ribosomal protein L18a/ L20
MtrunA17Chr2g0328831	Putative proteasome endopeptidase complex
MtrunA17Chr2g0328841	hypothetical protein
MtrunA17Chr2g0328851	Putative xanthine dehydrogenase
MtrunA17Chr2g0328871	hypothetical protein
MtrunA17Chr2g0328881	hypothetical protein
MtrunA17Chr2g0328891	Putative mitochondrial carrier protein
MtrunA17Chr2g0328901	Putative transcription factor Trihelix family
MtrunA17Chr2g0328911	Putative bacterial surface antigen (D15)
MtrunA17Chr2g0328921	Putative transcription factor C2H2 family
MtrunA17Chr2g0328931	Putative zinc/iron permease
MtrunA17Chr2g0328941	Putative transcription regulator A20-like family
MtrunA17Chr2g0328951	Putative PRELI/MSF1 domain-containing protein
MtrunA17Chr2g0328971	Putative transcription factor AP2-EREBP family
MtrunA17Chr2g0328981	hypothetical protein
MtrunA17Chr2g0329001	hypothetical protein
MtrunA17Chr2g0329011	Putative protein kinase AGC-RSK-2 family
MtrunA17Chr2g0329021	Putative histone deacetylase
MtrunA17Chr2g0329031	Putative transcription factor FAR family
MtrunA17Chr2g0329041	Putative transcription factor bHLH family
MtrunA17Chr2g0329051	hypothetical protein
MtrunA17Chr2g0329061	hypothetical protein
MtrunA17Chr2g0329071	hypothetical protein
MtrunA17Chr2g0329081	hypothetical protein
MtrunA17Chr2g0329091	hypothetical protein
MtrunA17Chr2g0329101	Putative crocetin glucosyltransferase
MtrunA17Chr2g0329111	Putative UDP-glucuronosyl/UDP-glucosyltransferase
MtrunA17Chr2g0329121	hypothetical protein
MtrunA17Chr2g0329131	Putative RNA helicase
MtrunA17Chr2g0329141	hypothetical protein
MtrunA17Chr2g0329151	Putative transcription factor EIL family
MtrunA17Chr2g0329161	Putative AMP-dependent synthetase/ligase, amine oxidase, catalase core domain-containing protein
MtrunA17Chr2g0329171	Putative glucose-fructose oxidoreductase
MtrunA17Chr2g0329181	Putative DNA topoisomerase (ATP-hydrolyzing)
MtrunA17Chr2g0329191	Putative beta-glucosidase
MtrunA17Chr2g0329201	Putative beta-glucosidase
MtrunA17Chr2g0329211	hypothetical protein
MtrunA17Chr2g0329221	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr2g0329231	hypothetical protein
MtrunA17Chr2g0329241	hypothetical protein
MtrunA17Chr2g0329251	Putative S-adenosyl-L-methionine-dependent methyltransferase
MtrunA17Chr2g0329261	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
MtrunA17Chr2g0329271	Putative DNA-(apurinic or apyrimidinic site) lyase
MtrunA17Chr2g0329281	hypothetical protein
MtrunA17Chr2g0329291	hypothetical protein
MtrunA17Chr2g0329301	hypothetical protein
MtrunA17Chr2g0329311	hypothetical protein
MtrunA17Chr2g0329321	Putative beta-glucosidase
MtrunA17Chr2g0329331	hypothetical protein
MtrunA17Chr2g0329341	hypothetical protein
MtrunA17Chr2g0329351	Putative ribosomal protein L18
MtrunA17Chr2g0329361	Putative transcription factor FAR family
MtrunA17Chr2g0329371	Putative EF-hand domain pair protein
MtrunA17Chr2g0329381	hypothetical protein
MtrunA17Chr2g0329401	Putative protein kinase RLK-Pelle-CR4L family
MtrunA17Chr2g0329421	Putative transcription factor FAR family
MtrunA17Chr2g0329431	hypothetical protein
MtrunA17Chr2g0329451	Putative fructokinase
MtrunA17Chr2g0329461	hypothetical protein
MtrunA17Chr2g0329471	hypothetical protein
MtrunA17Chr2g0329491	hypothetical protein
MtrunA17Chr2g0329501	Putative nucleotidyltransferase, Ribonuclease H
MtrunA17Chr2g0329511	Putative transcription factor interactor and regulator Znf-B family
MtrunA17Chr2g0329521	Putative non-specific serine/threonine protein kinase
MtrunA17Chr2g0329531	Putative strictosidine synthase transcription factor WD40-like family
MtrunA17Chr2g0329541	Putative electron-transferring-flavoprotein dehydrogenase
MtrunA17Chr2g0329551	Putative transcription factor bZIP family
MtrunA17Chr2g0329561	Putative ClpA/B family, Clp ATPase, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr2g0329571	Putative hydroxyacylglutathione hydrolase
MtrunA17Chr2g0329581	hypothetical protein
MtrunA17Chr2g0329591	Putative transcription factor GRAS family
MtrunA17Chr2g0329601	Putative PUA-like domain-containing protein
MtrunA17Chr2g0329611	hypothetical protein
MtrunA17Chr2g0329621	hypothetical protein
MtrunA17Chr2g0329631	Putative Homeobox domain-containing protein
MtrunA17Chr2g0329641	Putative peroxidase
MtrunA17Chr2g0329651	Putative Rab-GTPase-TBC domain-containing protein
MtrunA17Chr2g0329671	Putative transcription factor Nin-like family
MtrunA17Chr2g0329681	hypothetical protein
MtrunA17Chr2g0329691	Putative Rab-GTPase-TBC domain-containing protein
MtrunA17Chr2g0329701	Putative ribonuclease H
MtrunA17Chr2g0329721	hypothetical protein
MtrunA17Chr2g0329731	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr2g0329741	Putative pentatricopeptide
MtrunA17Chr2g0329751	hypothetical protein
MtrunA17Chr2g0329761	Putative chitinase
MtrunA17Chr2g0329771	Putative chitinase
MtrunA17Chr2g0329781	Putative chitinase
MtrunA17Chr2g0329791	Putative chitinase
MtrunA17Chr2g0329801	Putative LsmAD domain, ataxin 2, SM domain-containing protein
MtrunA17Chr2g0329811	Putative transcription factor Hap2/NF-YA family
MtrunA17Chr2g0329821	Putative chromatin regulator PHD family
MtrunA17Chr2g0329831	Putative threonine synthase
MtrunA17Chr2g0329841	hypothetical protein
MtrunA17Chr2g0329851	hypothetical protein
MtrunA17Chr2g0329861	Putative rossmann-like alpha/beta/alpha sandwich protein
MtrunA17Chr2g0329871	Putative protein kinase RLK-Pelle-RLCK-IXb family
MtrunA17Chr2g0329881	hypothetical protein
MtrunA17Chr2g0329891	Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24
MtrunA17Chr2g0329901	Seed linoleate 9S-lipoxygenase-2
MtrunA17Chr2g0329911	Seed linoleate 9S-lipoxygenase-3
MtrunA17Chr2g0329921	Putative transcription factor MYB-HB-like family
MtrunA17Chr2g0329931	Putative RNA helicase
MtrunA17Chr2g0329941	hypothetical protein
MtrunA17Chr2g0329951	hypothetical protein
MtrunA17Chr2g0329961	hypothetical protein
MtrunA17Chr2g0329971	Putative MULE transposase domain-containing protein
MtrunA17Chr2g0329981	Putative protein kinase CK1-CK1 family
MtrunA17Chr2g0329991	Putative phospholipid-translocating ATPase
MtrunA17Chr2g0330001	hypothetical protein
MtrunA17Chr2g0330011	Putative protein-serine/threonine phosphatase
MtrunA17Chr2g0330021	hypothetical protein
MtrunA17Chr2g0330031	Putative 5'-nucleotidase
MtrunA17Chr2g0330041	Putative transcription factor MYB-HB-like family
MtrunA17Chr2g0330051	Putative IQ motif, EF-hand binding, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr2g0330061	hypothetical protein
MtrunA17Chr2g0330071	hypothetical protein
MtrunA17Chr2g0330081	Putative transcription factor interactor and regulator FHA-SMAD family
MtrunA17Chr2g0330101	Putative N6-adenosine-methyltransferase MT-A70-like protein
MtrunA17Chr2g0330111	Putative glyoxylate reductase (NADP(+))
MtrunA17Chr2g0330121	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr2g0330131	Putative TIR domain-containing protein
MtrunA17Chr2g0330141	Putative nucleosome assembly protein (NAP)
MtrunA17Chr2g0330151	Beta-fructofuranosidase, cell wall isozyme
MtrunA17Chr2g0330161	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr2g0330171	Putative transcription factor C2H2 family
MtrunA17Chr2g0330181	hypothetical protein
MtrunA17Chr2g0330191	Putative beta-galactosidase
MtrunA17Chr2g0330201	Putative transcription factor AS2-LOB family
MtrunA17Chr2g0330211	Putative protein kinase STE-STE20-Fray family
MtrunA17Chr2g0330221	Putative polygalacturonase
MtrunA17Chr2g0330241	Putative Late embryogenesis abundant protein, LEA-14
MtrunA17Chr2g0330251	Putative glucose-methanol-choline oxidoreductase, FAD/NAD(P)-binding domain-containing protein
MtrunA17Chr2g0330271	Putative transcription factor WD40-like family
MtrunA17Chr2g0330281	hypothetical protein
MtrunA17Chr2g0330291	Putative beta-galactosidase
MtrunA17Chr2g0330301	hypothetical protein
MtrunA17Chr2g0330311	Putative protein-serine/threonine phosphatase
MtrunA17Chr2g0330321	hypothetical protein
MtrunA17Chr2g0330331	Putative protein-serine/threonine phosphatase
MtrunA17Chr2g0330351	hypothetical protein
MtrunA17Chr2g0330361	hypothetical protein
MtrunA17Chr2g0330371	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr2g0330381	hypothetical protein
MtrunA17Chr2g0330391	Putative ribonuclease III
MtrunA17Chr2g0330401	Putative RNA helicase
MtrunA17Chr2g0330411	hypothetical protein
MtrunA17Chr2g0330421	hypothetical protein
MtrunA17Chr2g0330431	Putative phospholipase D
MtrunA17Chr2g0330441	Putative prenylated rab acceptor PRA1
MtrunA17Chr2g0330451	Putative prenylated rab acceptor PRA1
MtrunA17Chr2g0330461	Putative exoribonuclease II transcription factor C2H2 family
MtrunA17Chr2g0330471	Putative protein kinase RLK-Pelle-PERK-2 family
MtrunA17Chr2g0330491	Putative hydrolase
MtrunA17Chr2g0330501	hypothetical protein
MtrunA17Chr2g0330511	Putative hydrolase
MtrunA17Chr2g0330521	hypothetical protein
MtrunA17Chr2g0330531	Putative transcription factor WD40-like family
MtrunA17Chr2g0330541	Putative ATP synthase, F0 complex, subunit G
MtrunA17Chr2g0330551	Putative major facilitator superfamily
MtrunA17Chr2g0330561	Putative ribosomal protein L28e
MtrunA17Chr2g0330571	Putative Snf7 family protein
MtrunA17Chr2g0330581	hypothetical protein
MtrunA17Chr2g0330591	Putative transferase, protein kinase RLK-Pelle-LRR-I-1 family
MtrunA17Chr2g0330601	Putative transcription factor WD40-like family
MtrunA17Chr2g0330611	Putative transferase
MtrunA17Chr2g0330621	Putative transferase
MtrunA17Chr2g0330631	Putative transferase, protein kinase RLK-Pelle-LRR-I-1 family
MtrunA17Chr2g0330641	Putative transcription factor bHLH family
MtrunA17Chr2g0330651	Putative methyltransferase
MtrunA17Chr2g0330661	Putative peptidase M20
MtrunA17Chr2g0330671	Putative peptidase M20
MtrunA17Chr2g0330681	Putative transcription factor WD40-like family
MtrunA17Chr2g0330691	Putative transferase, protein kinase RLK-Pelle-LRR-I-1 family
MtrunA17Chr2g0330701	hypothetical protein
MtrunA17Chr2g0330711	Putative peptidase M20
MtrunA17Chr2g0330721	Putative peptidase M20
MtrunA17Chr2g0330731	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr2g0330741	hypothetical protein
MtrunA17Chr2g0330751	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr2g0330761	Putative jacalin-like lectin domain-containing protein
MtrunA17Chr2g0330771	Putative stigma-specific protein Stig1
MtrunA17Chr2g0330781	Putative triacylglycerol lipase
MtrunA17Chr2g0330791	hypothetical protein
MtrunA17Chr2g0330801	Putative ATP diphosphatase
MtrunA17Chr2g0330811	Putative RNA-binding, CRM domain-containing protein
MtrunA17Chr2g0330821	Putative transcription factor HSF-type-DNA-binding family
MtrunA17Chr2g0330831	hypothetical protein
MtrunA17Chr2g0330841	Putative transcription factor HSF-type-DNA-binding family
MtrunA17Chr2g0330851	hypothetical protein
MtrunA17Chr2g0330861	hypothetical protein
MtrunA17Chr2g0330871	Putative 6-phosphofructokinase
MtrunA17Chr2g0330891	hypothetical protein
MtrunA17Chr2g0330921	Putative IQ motif, EF-hand binding, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr2g0330951	Putative transcription factor interactor and regulator AUX-IAA family
MtrunA17Chr2g0330961	hypothetical protein
MtrunA17Chr2g0330971	Putative S-phase kinase-associated protein
MtrunA17Chr2g0330981	Putative S-phase kinase-associated protein
MtrunA17Chr2g0330991	Putative TauD/TfdA-like domain-containing protein
MtrunA17Chr2g0331001	hypothetical protein
MtrunA17Chr2g0331011	Putative signal transduction histidine kinase, phosphotransfer (Hpt) domain-containing protein
MtrunA17Chr2g0331021	Putative signal transduction histidine kinase, phosphotransfer (Hpt) domain-containing protein
MtrunA17Chr2g0331031	Putative transcription factor MYB-HB-like family
MtrunA17Chr2g0331041	hypothetical protein
MtrunA17Chr2g0331051	Putative malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))
MtrunA17Chr2g0331061	hypothetical protein
MtrunA17Chr2g0331081	Putative sulfate-transporting ATPase
MtrunA17Chr2g0331091	hypothetical protein
MtrunA17Chr2g0331101	hypothetical protein
MtrunA17Chr2g0331111	hypothetical protein
MtrunA17Chr2g0331121	Putative Longin-like domain, coatomer delta subunit, Mu domain-containing protein
MtrunA17Chr2g0331131	Putative transcription factor & lipid binding HD-SAD family
MtrunA17Chr2g0331141	Putative RNA recognition motif domain, RNA-recognition motif (RRM) Nup35-type
MtrunA17Chr2g0331161	Putative peptidase M41, ATPase, AAA-type, core, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr2g0331171	hypothetical protein
MtrunA17Chr2g0331181	Putative cupredoxin
MtrunA17Chr2g0331191	Putative ankyrin repeat-containing domain, PGG domain-containing protein
MtrunA17Chr2g0331201	Putative ankyrin repeat-containing domain, PGG domain-containing protein
MtrunA17Chr2g0331211	Putative NAD(P)-binding domain, tetraketide alpha-pyrone reductase 1
MtrunA17Chr2g0331231	Putative transcription factor AP2-EREBP family
MtrunA17Chr2g0331241	Putative K domain, RNA ligase/cyclic nucleotide phosphodiesterase
MtrunA17Chr2g0331251	Putative ribonuclease P
MtrunA17Chr2g0331261	Putative major intrinsic protein
MtrunA17Chr2g0331271	Putative Beta-grasp domain-containing protein
MtrunA17Chr2g0331291	Putative ribonuclease Z
MtrunA17Chr2g0331301	hypothetical protein
MtrunA17Chr2g0331311	Putative CDC50/LEM3 family protein
MtrunA17Chr2g0331321	hypothetical protein
MtrunA17Chr2g0331331	Putative transcription factor WD40-like family
MtrunA17Chr2g0331341	Putative [Myosin heavy-chain] kinase transcription factor WD40-like family
MtrunA17Chr2g0331351	hypothetical protein
MtrunA17Chr2g0331361	Putative quorum-sensing-regulated virulence factor
MtrunA17Chr2g0331371	Putative transcription factor FAR family
MtrunA17Chr2g0331381	Putative Heat shock protein 70 family
MtrunA17Chr2g0331391	hypothetical protein
MtrunA17Chr2g0331411	Putative transcription factor interactor and regulator AUX-IAA family
MtrunA17Chr2g0331431	Putative transcription factor bHLH family
MtrunA17Chr2g0331451	30S ribosomal protein S11
MtrunA17Chr2g0331461	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr2g0331471	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr2g0331481	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr2g0331501	Putative transcription factor WD40-like family
MtrunA17Chr2g0331511	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr2g0331521	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr2g0331531	Putative PLAC8 motif-containing protein
MtrunA17Chr2g0331551	hypothetical protein
MtrunA17Chr2g0331561	Putative TATA element modulatory factor 1 TATA binding, TATA element modulatory factor 1 DNA binding
MtrunA17Chr2g0331571	Putative tetratricopeptide-like helical domain, DYW domain-containing protein
MtrunA17Chr2g0331581	Putative transcription factor & lipid binding HD-SAD family
MtrunA17Chr2g0331591	Putative ribosomal protein S17/S11
MtrunA17Chr2g0331601	Putative transcription factor C2H2 family
MtrunA17Chr2g0331611	Putative translation protein, beta-barrel
MtrunA17Chr2g0331621	Putative photosystem I PsaH, reaction centre subunit VI, single alpha-helix
